category_1,category_2,times_bought_together
garden_tools,pet_shop,1
furniture_living_room,garden_tools,1
furniture_living_room,toys,1
garden_tools,la_cuisine,1
garden_tools,telephony,1
housewares,small_appliances,1
industry_commerce_and_business,office_furniture,1
housewares,perfumery,1
musical_instruments,watches_gifts,1
musical_instruments,toys,1
music,perfumery,1
market_place,perfumery,1
market_place,musical_instruments,1
luggage_accessories,telephony,1
luggage_accessories,musical_instruments,1
kitchen_dining_laundry_garden_furniture,toys,1
small_appliances,telephony,1
small_appliances,sports_leisure,1
pet_shop,sports_leisure,1
perfumery,watches_gifts,1
perfumery,pet_shop,1
sports_leisure,stationery,1
telephony,toys,1
toys,watches_gifts,1
